Buy Date,Buy Cost,Sell Date,Sell Cost,Profit
2005-09-04,3.0771,2005-12-11,3.6771,0.5999999999999996
2006-04-16,4.17,2006-05-21,3.9814,-0.1886000000000001
2006-10-08,3.4443,2007-01-14,3.2443,-0.20000000000000018
2007-04-15,3.5143,2007-04-29,3.1729,-0.34140000000000015
2007-06-10,3.3471,2007-06-17,2.8157,-0.5314000000000001
2007-09-23,2.7414,2008-01-20,3.1214,0.3799999999999999
2008-02-10,3.84,2008-05-11,4.3886,0.5486000000000004
2008-09-28,4.6957,2008-10-05,4.1386,-0.5571000000000002
2008-12-14,4.0729,2009-05-17,5.5,1.4271000000000003
2009-08-16,6.3557,2009-09-06,5.85,-0.5057
2009-09-27,6.6086,2009-10-04,6.3886,-0.21999999999999975
2009-10-11,6.7014,2010-01-03,7.87,1.1686000000000005
2010-02-14,9.0257,2010-07-25,15.386,6.360299999999999
2010-08-22,18.566,2011-01-02,25.1,6.5340000000000025
2011-01-30,31.14,2011-03-13,29.22,-1.9200000000000017
2011-04-03,34.584,2011-05-01,33.239,-1.345000000000006
2011-05-29,37.787,2011-06-19,35.096,-2.6910000000000025
2011-07-10,42.163,2011-07-31,37.999,-4.163999999999994
2012-01-08,12.327,2012-05-06,10.449,-1.8780000000000001
2012-07-08,11.699,2013-04-21,23.339,11.639999999999999
2013-04-28,30.793,2013-06-16,30.57,-0.22299999999999898
2013-07-21,37.797,2013-08-04,35.169,-2.628
2013-08-25,39.766,2014-01-05,51.871,12.105000000000004
2014-02-09,61.426,2014-03-23,57.999,-3.4269999999999996
2014-06-08,61.447,2014-09-28,64.107,2.6599999999999966
2015-01-25,62.493,2015-09-06,98.79,36.297000000000004
2015-11-29,125.44,2015-12-27,117.33,-8.11
2016-04-10,103.81,2016-05-01,90.03,-13.780000000000001
2016-06-05,99.59,2016-06-12,93.75,-5.840000000000003
2016-07-10,97.06,2016-07-24,85.89,-11.170000000000002
2016-08-07,97.05,2017-03-26,142.02,44.97000000000001
2017-05-07,156.6,2017-06-18,152.38,-4.219999999999999
2017-07-23,188.54,2017-08-27,165.95,-22.590000000000003
2017-09-17,182.35,2017-11-26,195.75,13.400000000000006
2018-01-14,221.23,2018-05-20,324.18,102.95000000000002
2018-05-27,351.29,2018-07-22,361.05,9.759999999999991
2019-01-20,339.1,2019-05-26,354.39,15.289999999999964
2019-07-07,380.55,2019-07-21,315.1,-65.44999999999999
2019-11-17,295.03,2020-09-13,482.03,187.0
2021-01-24,565.17,2021-03-07,516.39,-48.77999999999997
2021-07-11,535.98,2021-12-12,611.66,75.67999999999995
2022-07-03,179.95,2023-03-12,292.76,112.81
2023-05-21,365.36,2023-08-20,404.53,39.16999999999996
